index,album,artist,genre
10649403,20 Great Love Songs,Leo Sayer,Pop/Rock
10650293,Dubwise,Prince Far I,Pop/Rock
10656457,Just Cruisin',Will Smith,Rap
10656461,Will 2K,Will Smith,Rap
10656526,Can’t Wait To Be With You,DJ Jazzy Jeff & The Fresh Prince,Rap
10656527,The Things That U Do,DJ Jazzy Jeff & The Fresh Prince,Rap
10658368,Full Circle,Frank Marino & Mahogany Rush,Pop/Rock
10658830,Cursed Sleep,"Bonnie ""Prince"" Billy",Pop/Rock
10664110,Where Do You Go to My Lovely?,Peter Sarstedt,Pop/Rock
10664669,Silverbird,Leo Sayer,Pop/Rock
10666567,Christ Illusion,Slayer,Pop/Rock
10667102,...And Justice For All,Metallica,Pop/Rock
10667105,Ride The Lightning,Metallica,Pop/Rock
10668224,White Christmas,Bing Crosby,Vocal
10669755,Voice in My Head,Leo Sayer,Pop/Rock
10672589,I Want You So Hard (Boys Bad News),Eagles of Death Metal,Pop/Rock
10673435,The Letting Go,"Bonnie ""Prince"" Billy",Pop/Rock
10673756,Cream,Prince & The New Power Generation,R&B;
10676876,B'Day,Beyoncé,R&B;
10678606,Gettin’ Jiggy Wit It,Will Smith,Rap
10678897,Bad Meets Evil: Scary Music: Renegades,Bad Meets Evil,Rap
10683708,Cool Touch,Leo Sayer,Rap
10683709,World Radio,Leo Sayer,Pop/Rock
10683712,The Collection,Leo Sayer,Pop/Rock
10684628,Alive on Arrival,DJ Green Lantern feat. Eminem,Pop/Rock
10685325,Smack That,Akon feat. Eminem,Pop/Rock
10687603,The Saints Are Coming,U2 feat. Green Day,Pop/Rock
10688229,This Is Who I Am,Kelly Price,Pop/Rock
10694539,Cold & Wet,"Bonnie ""Prince"" Billy",Pop/Rock
10702823,The Essential Otis Rush: The Classic Cobra Recordings 1956-1958,Otis Rush,Blues
10707010,Bonnie Prince Billy Performs Songs of Kevin Loyne,"Bonnie ""Prince"" Billy",Blues
10708114,Al Capone,Prince Buster,Blues
10711736,Jesus Price Supastar,Sean Price,Rap
10712353,Lay & Love,"Bonnie ""Prince"" Billy",Pop/Rock
10720627,All Your Love (I Miss Loving) / My Baby's a Good 'Un,Otis Rush,Pop/Rock
10726133,Pride (In the Name of Love) (disc 2),U2,Pop/Rock
10726329,A Tribute To ABBA,Abba Revival Band,Jazz
10726330,Spielen die grossen ABBA Erfolgstitel - Super Cover Version,Abba Revival Band,Jazz
10728177,Jazz,Adele,Jazz
10728598,Listen,Beyoncé,R&B;
10729988,The Best of Leo Sayer,Leo Sayer,Pop/Rock
10732173,The Power of Love,Jennifer Rush,Pop/Rock
10733341,Snakes & Arrows,Rush,Pop/Rock
10737829,Little Joya,Will Oldham,Pop/Rock
10740106,Tell Me,Darude,Electronic
10763537,Get the Groove On,B.G. The Prince of Rap,R&B;
10768174,What a Hard Man Fe Dead,Prince Buster,Reggae
10769231,Defying Gravity,Idina Menzel,Vocal
10774382,My Game,Darude,Pop/Rock
10774868,Sugar Rush,A*Teens,Pop/Rock
10779667,Long Road Out of Eden,Eagles,Pop/Rock
10780190,Rush of Fools,Rush of Fools,Religious
10780346,Stronghold: The Collector's Hit Box,Jennifer Rush,Pop/Rock
10781322,Power of Rush,Jennifer Rush,Pop/Rock
10781491,Bonny 2007,"Bonnie ""Prince"" Billy",Pop/Rock
10783732,Label This!,Darude,Electronic
10783861,Ask Forgiveness,"Bonnie ""Prince"" Billy",Pop/Rock
10791347,The Hit Box,Jennifer Rush,Pop/Rock
10798940,Jennifer Rush: International Version,Jennifer Rush,Pop/Rock
10801643,Chasing Pavements,Adele,Pop/Rock
10801647,Hometown Glory,Adele,Pop/Rock
10803920,19,Adele,Pop/Rock
10806117,Strange Form of Life,"Bonnie ""Prince"" Billy",Pop/Rock
10809540,A Johnny Glaze Christmas: Classical Snatches and Samples A Go-Go 2003-2005,Department of Eagles,Pop/Rock
10812464,I Stand,Idina Menzel,Pop/Rock
10812538,Can't Love You,B.G. The Prince of Rap,Rap
10815964,Master P,Sean Price,Rap
10816537,Creeping Death,Metallica,Pop/Rock
10825320,"The String Quartet Tribute to Led Zeppelin, Volume 2",The Section Quartet,Pop/Rock
10826426,Ave Maria,Jennifer Rush,Pop/Rock
10838317,Lie Down In the Light,"Bonnie ""Prince"" Billy",Pop/Rock
10846493,To Come from Nowhere,Where Eagles Dare,Pop/Rock
10848604,Party Starter,Will Smith,Rap
10851717,We Are All on Drugs,Weezer,Pop/Rock
10852107,Will 2k,Will Smith,Rap
10854251,The Show Must Go On,Leo Sayer,Pop/Rock
10854252,One Man Band,Leo Sayer,Pop/Rock
10856307,I Can't Quit You Baby / Sit Down Baby,Otis Rush,Pop/Rock
10861246,New Kid in Town,Eagles,Pop/Rock
10864902,Child of the Novelty / Maxoom / Strange Universe,Frank Marino & Mahogany Rush,Pop/Rock
10867128,Best Ballads,Eagles,Pop/Rock
10872417,In Ear Park,Department of Eagles,Pop/Rock
10874719,The Cold Nose,Department of Eagles,Pop/Rock
10877263,Ska-Lip-Soul,Prince Buster's All Stars,Pop/Rock
10878494,"Trying to Get to You / Please, Please",The Eagles,Pop/Rock
10878914,Scary Movies,Bad Meets Evil,Rap
10879789,Innovative Life: The Anthology 1984-1989,Arabian Prince,Rap
10880284,Where's My Bytches,Arabian Prince,Rap
10880931,"Selectors Choice, Volume 2",King Jammy,Reggae
10882612,Romo-Goth,Department of Eagles,Reggae
10884769,No One Does It Like You,Department of Eagles,Reggae
10886375,Heart On,Eagles of Death Metal,Pop/Rock
10889854,Wonder Of The World,Rush of Fools,Religious
10893300,Survival of the Fattest,Prince Fatty,Reggae
10894834,If I Were a Boy,Beyoncé,Pop/Rock
10894840,Wear It's At,The Rubettes,Pop/Rock
10897782,Wrong End of the Rainbow,Tom Rush,Folk
10899585,Tops,Otis Rush,Blues
10899726,One Family: A Christmas Album,Kelly Price,R&B;
10901478,Feliz Navidad,José Feliciano,Vocal
10911283,Feel the Beat / Sandstorm,Darude,Vocal
10916780,No Line on the Horizon,U2,Pop/Rock
10917071,Living In a Fantasy,Leo Sayer,Pop/Rock
10918436,Bristol Express / Johnny's Tune,The Eagles,Pop/Rock
10918744,"Selectors Choice, Volume 3",King Jammy,Reggae
10923147,Crack a Bottle,Eminem feat. Dr. Dre & 50 Cent,Rap
10923531,Groaning the Blues / If You Were Mine,Otis Rush,Rap
10929823,Beware,"Bonnie ""Prince"" Billy",Pop/Rock
10931790,No Line On the Horizon,U2,Pop/Rock
10932224,Another Year,Leo Sayer,Pop/Rock
10932233,Thunder in My Heart,Leo Sayer,Pop/Rock
10932238,Leo Sayer,Leo Sayer,Pop/Rock
10937966,Chijimi,"Bonnie ""Prince"" Billy",Pop/Rock
10940548,Make You Feel My Love,Adele,Pop/Rock
10948910,Hit Collection,Jennifer Rush,Pop/Rock
10950946,Relapse,Eminem,Rap
10956690,Big Five,Prince Buster,Rap
10958020,Tutti Frutti,Prince Buster,Rap
10968344,Senegambian Sensation,Super Eagles,R&B;
10977339,In the Darkness,Darude,Pop/Rock
10979807,This Beat Is Hot,B.G. The Prince of Rap,Pop/Rock
10982134,Party In the U.S.A.,Miley Cyrus,Pop/Rock
10984819,Cold Shoulder,Adele,Pop/Rock
10993448,"The Revenge of King Jammy's Super Power All Stars, Volume 2",King Jammy,Reggae
11000909,Raditude,Weezer,Pop/Rock
11000974,World Painted Blood,Slayer,Pop/Rock
11005014,"Selectors Choice, Volume 4",King Jammy,Reggae
11005958,Freedom for the Stallion,The Hues Corporation,R&B;
11007456,Kimbo Price,Sean Price,Rap
11009042,The Trees / Circumstances,Rush,Rap
11014295,Destiny,Jennifer Rush,Pop/Rock
11016540,Relapse: Refill,Eminem,Rap
11017972,"Live at Symphony Hall, Boston",Tom Rush,Folk
11018650,Tom Rush / Wrong End of the Rainbow,Tom Rush,Folk
11018725,Merrimack County / Ladies Love Outlaws,Tom Rush,Folk
11023958,Garden partie,Adele,Folk
11024779,Otis Rush: Live at Montreux 1986,Otis Rush,Blues
11024875,Have You Ever Been In Love,Leo Sayer,Pop/Rock
11028657,Little Lives,Adele Bertei,Pop/Rock
11031374,Le Premier Gold Experience,Prince & The New Power Generation,Pop/Rock
11031643,Thank You for the Music,Abba Revival Band,Pop/Rock
11033209,Black Noise,Pantha du Prince,Electronic
11042315,Minneapolis Genius (The Historic 1977 Recordings),94 East,R&B;
11050719,The Big Money,Rush,Pop/Rock
11054055,Stick to My Side,Pantha du Prince,Pop/Rock
11056795,Now Is the Hour,Jennifer Rush,Electronic
11060944,Dope Thang / Gettin' Down,Arabian Prince,Electronic
11066179,When Doves Cry,The Revolution,Pop/Rock
11066935,Tears in the Rain,Jennifer Rush,Pop/Rock
11072619,Sandstorm: Talla 2XLC Remixes,Darude,Pop/Rock
11228618,"Double Trouble / Keep on Loving Me, Baby",Otis Rush,Pop/Rock
11233313,Archive 2003-2006,Department of Eagles,Pop/Rock
11234159,Violent Love / My Love Will Never Die,Otis Rush,Pop/Rock
